,null_count,null_pct
ElementarySchoolDistrict,540183,100.0
CoveredSpaces,540183,100.0
BusinessType,540183,100.0
MiddleOrJuniorSchoolDistrict,540183,100.0
FireplacesTotal,540183,100.0
TaxAnnualAmount,540183,100.0
AboveGradeFinishedArea,540183,100.0
TaxYear,540183,100.0
BelowGradeFinishedArea,537154,99.44
CoBuyerAgentFirstName,525755,97.33
BuilderName,514943,95.33
LotSizeDimensions,511990,94.78
BuildingAreaTotal,492186,91.11
ElementarySchool,475845,88.09
MiddleOrJuniorSchool,475701,88.06
BuyerAgencyCompensation,461190,85.38
BuyerAgencyCompensationType,461170,85.37
HighSchool,455717,84.36
CoListAgentFirstName,419643,77.69
CoListAgentLastName,419242,77.61
CoListOfficeName,419157,77.6
ClosePrice,394603,73.05
BuyerOfficeAOR,393468,72.84
BuyerOfficeName.1,383233,70.95
BuyerOfficeName,383233,70.95
BuyerAgentFirstName,381704,70.66
BuyerAgentMlsId,381086,70.55
BuyerAgentLastName,380976,70.53
CloseDate,374361,69.3
CloseDate.1,374361,69.3
SubdivisionName,341249,63.17
AssociationFeeFrequency,309326,57.26
PurchaseContractDate,273091,50.56
MainLevelBedrooms,246075,45.55
HighSchoolDistrict,162408,30.07
AssociationFee,129662,24.0
AttachedGarageYN,94413,17.48
Stories,94249,17.45
Latitude,80145,14.84
Latitude.1,80145,14.84
Longitude,80145,14.84
Longitude.1,80145,14.84
MLSAreaMajor,73002,13.51
Levels,58040,10.74
ListAgentEmail,47001,8.7
LotSizeAcres,44518,8.24
LotSizeSquareFeet,43854,8.12
LotSizeArea,43679,8.09
NewConstructionYN,37153,6.88
GarageSpaces,29991,5.55
ContractStatusChangeDate,6020,1.11
ListAgentFirstName,4225,0.78
ListAgentFirstName.1,4225,0.78
PropertySubType,1247,0.23
YearBuilt,939,0.17
StreetNumberNumeric,850,0.16
OriginalListPrice,774,0.14
UnparsedAddress,670,0.12
UnparsedAddress.1,670,0.12
FireplaceYN,573,0.11
City,584,0.11
LivingArea.1,556,0.1
LivingArea,556,0.1
BedroomsTotal,148,0.03
ListAgentFullName,90,0.02
ListAgentLastName,39,0.01
BathroomsTotalInteger,55,0.01
ListAgentLastName.1,39,0.01
StateOrProvince,62,0.01
ParkingTotal,20,0.0
PostalCode,13,0.0
