,null_count,null_pct
FireplacesTotal,397603,100.0
TaxYear,397603,100.0
ElementarySchoolDistrict,397603,100.0
CoveredSpaces,397603,100.0
BusinessType,397603,100.0
MiddleOrJuniorSchoolDistrict,397603,100.0
TaxAnnualAmount,397603,100.0
AboveGradeFinishedArea,397603,100.0
WaterfrontYN,397355,99.94
BelowGradeFinishedArea,395313,99.42
BasementYN,389826,98.04
LotSizeDimensions,378282,95.14
BuilderName,378056,95.08
BuildingAreaTotal,369810,93.01
CoBuyerAgentFirstName,361576,90.94
OriginatingSystemSubName,358351,90.13
OriginatingSystemName,358351,90.13
BuyerAgencyCompensation,351478,88.4
BuyerAgencyCompensationType,351467,88.4
ElementarySchool,344627,86.68
MiddleOrJuniorSchool,344273,86.59
latfilled,333719,83.93
lonfilled,333719,83.93
HighSchool,328353,82.58
CoListAgentFirstName,306611,77.11
CoListAgentLastName,306376,77.06
CoListOfficeName,303521,76.34
SubdivisionName,249875,62.85
AssociationFeeFrequency,232049,58.36
MainLevelBedrooms,166841,41.96
Flooring,142590,35.86
HighSchoolDistrict,108857,27.38
AssociationFee,90998,22.89
Stories,61503,15.47
AttachedGarageYN,60679,15.26
MLSAreaMajor,53122,13.36
BuyerAgentAOR,49091,12.35
ListAgentAOR,46186,11.62
Levels,38569,9.7
PoolPrivateYN,34435,8.66
ViewYN,33869,8.52
LotSizeAcres,31364,7.89
LotSizeSquareFeet,30987,7.79
LotSizeArea,30863,7.76
NewConstructionYN,29453,7.41
ListAgentEmail,29012,7.3
BuyerOfficeAOR,21446,5.39
GarageSpaces,17053,4.29
Longitude,15822,3.98
Latitude,15822,3.98
BuyerOfficeName,6538,1.64
ListAgentFirstName,2999,0.75
BuyerAgentFirstName,1952,0.49
PropertySubType,776,0.2
OriginalListPrice,721,0.18
ContractStatusChangeDate,589,0.15
BuyerAgentMlsId,503,0.13
ParkingTotal,426,0.11
StreetNumberNumeric,445,0.11
UnparsedAddress,362,0.09
YearBuilt,356,0.09
City,310,0.08
FireplaceYN,316,0.08
LivingArea,229,0.06
PurchaseContractDate,194,0.05
BuyerAgentLastName,167,0.04
ListAgentFullName,85,0.02
BathroomsTotalInteger,69,0.02
ListAgentLastName,40,0.01
ClosePrice,2,0.0
ListingContractDate,1,0.0
BedroomsTotal,11,0.0
PostalCode,2,0.0
